,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,82.6905,0.0039,0.3923,111.2516,0.0245,0.3343,176.1362,1.358,0.9723,276.3034,3.7856,0.1494,301.3432,3.1872,0.003,353.7679,2.8561,0.0386,360.8863,0.1869,0.1829,413.4352,1.9744,0.8511,2079.7993,345.7167,64.2938,-12.33126176,1.956165,1.151377,145.610123
1,2,103.9454,0.0008,0.4881,125.0641,0.0485,0.3605,180.9547,1.1261,0.9333,293.4427,5.4353,0.1589,320.0924,2.7868,0.0037,356.1628,2.7173,0.0917,433.3594,0.5299,0.1796,489.9233,2.0118,0.8535,1930.3344,359.8697,60.8376,-11.83276782,1.933729,1.171684,145.732529
2,3,92.4238,0.0065,0.4411,116.564,0.0062,0.3298,177.8185,1.0194,0.7493,311.8739,3.7448,0.1079,334.8025,3.2861,0.003,355.6374,3.4096,0.124,388.6662,0.4051,0.1599,468.966,3.528,0.8746,2023.9249,377.7528,55.3506,-11.50188179,1.893324,1.159324,148.93718
3,4,89.5481,0.0242,0.4685,108.3683,0.0113,0.344,178.4912,0.6497,0.791,327.5,2.2195,0.1221,355.0641,3.3557,0.0154,370.2702,3.6089,0.1247,394.4512,1.0528,0.1323,504.4009,6.7057,1.1065,2019.7136,418.801,50.2335,-10.89708766,1.836373,1.160817,152.717606
4,5,89.6231,0.0236,0.5138,105.5075,0.0263,0.3709,178.266,0.5413,0.9582,317.2846,2.0099,0.1032,361.2,2.9384,0.0232,392.78,3.9097,0.1724,416.2502,1.2956,0.1443,536.3791,7.7757,1.3245,1972.3706,445.5107,47.5107,-11.52629193,1.802133,1.168383,154.651886
5,6,68.1352,0.0295,0.4678,82.0551,0.0245,0.334,174.2099,0.8009,1.0764,285.9035,2.5328,0.0766,316.4145,3.0214,0.0416,343.917,0.9935,0.0948,375.2313,1.2805,0.2391,493.3786,10.5895,1.0412,2091.663,433.8635,50.0389,-14.41948954,1.820089,1.152009,154.522797
6,7,89.844,0.0126,0.5481,104.119,0.0142,0.4259,170.0789,0.9733,1.4164,271.2259,2.9873,0.0863,318.5786,3.1478,0.0553,379.0383,5.9849,0.378,429.3931,0.5667,0.0634,515.6522,6.2948,0.9348,1931.6363,427.3982,54.1868,-16.78689652,1.845091,1.173638,153.058273
7,8,83.0385,0.0021,0.5165,94.0926,0.021,0.4017,162.8311,1.2774,1.4771,266.194,2.9084,0.065,306.446,4.0345,0.1993,335.5597,5.7124,0.201,378.7326,0.4749,0.2373,442.0477,3.9901,0.7372,2036.9552,412.0305,64.4828,-17.41164547,1.897847,1.158271,152.156036
8,13,72.6543,0.0261,0.4448,75.3033,0.0153,0.42,168.2351,0.743,0.9422,315.3447,3.1637,0.0952,322.4139,3.3846,0.0847,333.198,2.1925,0.2224,366.2904,0.054,0.1048,432.449,10.1918,0.7885,2092.129,468.5579,62.9387,-13.45324964,1.834399,1.152486,167.744308
9,14,83.5487,0.015,0.4564,85.7101,0.059,0.4616,176.8423,0.4496,0.7482,313.4556,2.9611,0.0142,345.1476,3.0126,0.061,368.6426,1.7093,0.1586,380.7,2.0315,0.1888,484.1229,10.267,1.012,2040.4697,481.126,61.3151,-11.47188682,1.810095,1.160038,164.023117
