,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,106.3171,0.0375,1.6067,120.9688,0.0604,1.017,185.1336,1.9717,3.1245,324.5818,12.7101,1.6871,351.9995,9.5712,0.2862,549.2308,7.9768,7.0191,552.4158,11.3059,4.3898,613.5366,30.3827,5.4885,1929.4498,1085.0777,92.6278,-7.483809762,1.689097,1.174959,171.797546
1,2,113.9389,0.01,1.4763,124.524,0.0432,1.3229,187.9908,2.154,3.3775,313.6004,12.3556,0.4977,351.2659,10.5068,0.8361,545.1166,9.7303,4.8549,564.0845,11.9851,2.3946,603.7178,28.3014,3.3037,1899.5939,1079.8492,99.6859,-8.59186692,1.702364,1.178499,170.40239
2,3,109.7043,0.0687,1.5492,119.2455,0.0767,1.4526,183.9369,2.416,3.2862,302.4523,12.5187,0.4838,339.597,10.799,0.4993,534.8988,7.0524,3.3363,558.7893,13.3942,2.103,601.9721,33.0281,4.5085,1907.3507,1033.3126,98.2177,-8.640373443,1.708853,1.177044,166.169968
3,4,104.1047,0.0585,1.537,118.7165,0.0547,1.5375,181.9518,1.6631,5.3931,300.7127,12.5868,0.5458,342.7416,11.7873,2.3054,542.9498,5.0085,2.0421,556.1435,7.649,1.8363,621.9317,34.2881,3.2967,1896.7538,1069.2775,92.0198,-11.59268249,1.692482,1.179719,167.349091
4,5,101.8881,0.0182,1.5242,121.3371,0.0407,1.3719,177.9,1.2979,5.6531,309.6104,11.9941,0.7039,344.5173,12.2642,0.4111,549.8611,4.2753,1.1475,551.5469,5.8387,3.7819,632.7248,35.6384,3.2459,1887.4013,1062.3609,93.2395,-12.8670298,1.689051,1.181246,166.485199
5,6,106.3279,0.0539,1.5294,122.5395,0.0071,1.391,183.9549,1.5353,4.6014,320.7516,11.9946,0.6381,338.526,11.854,0.4704,538.282,4.6696,2.5124,561.6663,7.0741,1.9504,617.2567,42.6526,2.9377,1887.4039,1034.8314,98.0314,-11.39313431,1.705969,1.179975,162.432907
6,7,111.6611,0.0684,1.4719,121.0732,0.0222,1.344,188.53,1.6337,3.1405,327.1289,11.7566,0.7395,350.9667,11.7854,1.0515,541.415,4.5862,3.5844,573.3871,9.9747,2.3178,615.8718,39.6385,3.3481,1896.04,1002.4256,90.1608,-10.11188439,1.702382,1.178952,163.987228
7,8,108.7453,0.015,1.5377,110.2428,0.0761,1.5766,186.5812,1.5064,2.3574,348.2807,11.6667,0.6459,358.2071,12.0966,0.6116,554.416,5.882,3.0493,562.0528,12.0016,2.9552,627.1264,32.4717,4.7778,1933.9413,1062.0973,82.7069,-10.03840297,1.678431,1.174988,172.132339
8,9,102.3174,0.0643,1.4765,106.7927,0.0865,1.6259,190.7279,2.0435,2.3115,319.1291,13.95,0.8402,359.7517,12.2771,1.4839,552.501,8.5509,2.7548,561.8832,10.9481,3.8937,628.0789,28.2244,5.159,1949.6147,1086.2079,84.7556,-7.997238444,1.670287,1.173215,178.19223
9,10,105.6576,0.0451,1.4983,108.6645,0.0308,1.4894,185.1486,2.2346,1.9967,302.7326,12.9791,0.4644,355.4569,13.3019,1.2258,555.349,8.2984,1.3276,563.8101,12.0257,4.2191,613.2283,29.8292,5.148,1945.0683,1092.6323,89.3206,-7.883847387,1.677261,1.17334,179.103149
