,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3,84.9352,0.1531,1.4701,93.6215,0.0761,1.3562,165.789,0.182,1.805,305.0043,0.1496,0.7318,322.2031,3.5444,0.2785,341.1365,4.1083,0.4575,378.7885,1.0313,2.7267,546.3256,26.9011,25.5471,1813.2993,519.7746,3.685,-16.10749144,1.68297,1.181849,155.721191
1,4,101.2557,0.2637,1.6269,115.2599,0.1163,1.4849,167.4605,0.1497,1.5623,311.9179,3.3399,1.3644,317.457,3.3609,0.8231,342.7101,2.0994,1.4629,381.5121,1.56,9.8379,484.7834,28.0118,40.4818,1697.2675,548.4178,18.9156,-17.33232821,1.757222,1.196874,148.751709
2,5,118.7841,0.0168,0.859,126.0243,0.0588,1.0203,167.0082,0.8919,6.2709,290.8096,5.3649,3.7175,311.1651,4.069,0.4022,327.5698,3.5938,0.7976,366.8783,0.7578,6.9482,486.2585,1.9388,2.9056,1671.6962,469.8275,52.843,-11.31714285,1.803819,1.193868,138.383514
3,6,88.4993,0.399,1.5193,98.7302,0.1367,1.2944,169.0962,0.032,1.1652,297.0971,5.3487,0.8095,312.321,2.1086,1.714,341.3793,1.2501,0.5642,370.307,1.7501,3.0801,490.7709,14.8194,83.4797,1655.7,596.3303,24.1712,-20.59676073,1.776055,1.198244,129.099289
4,8,-29.3621,0.3513,0.8872,55.2382,0.7773,0.7269,176.6994,0.0815,1.5351,264.665,4.9179,0.1496,296.817,3.1154,0.9466,335.962,2.6404,0.506,396.6792,3.1934,1.4106,574.4646,14.4419,11.1377,1704.1718,415.0212,2.1226,-18.85353795,1.640179,1.194006,127.508621
5,10,88.6228,0.1829,1.1372,122.2322,0.2735,1.1075,170.5978,0.1642,0.9795,285.4288,0.5286,0.3295,324.5891,6.1277,0.1801,332.3343,2.3121,3.7969,396.2206,2.2451,7.8384,482.9887,26.7179,19.6744,1690.0244,454.3671,13.3608,-21.91716727,1.77183,1.198461,141.413162
6,11,99.4537,0.1817,1.2712,123.5536,0.2012,1.3451,169.3311,0.1839,1.0302,279.9175,0.0821,0.8648,326.6634,3.9269,3.8862,329.048,5.119,1.2748,381.0056,2.8034,9.7303,458.0326,29.3943,20.7878,1695.0592,476.5623,16.5675,-19.74548066,1.790527,1.198468,149.045532
7,12,99.3783,0.1468,1.1648,111.0168,0.1594,1.4185,167.9185,0.0947,1.1131,284.831,0.2409,0.1354,313.8748,3.5445,0.9755,334.8621,5.9894,0.3373,368.4686,1.5009,2.9912,484.4452,34.2396,17.7793,1741.15,425.6419,4.953,-19.46630146,1.74661,1.194163,154.620728
8,13,83.8717,0.1409,1.0567,92.5558,0.1619,1.343,169.4494,0.1323,1.06,290.7946,4.553,0.2618,298.6334,0.1619,0.0892,331.6733,3.9499,0.2846,345.84,2.4561,0.7975,547.3045,30.0754,15.3652,1784.1292,400.7076,2.1287,-18.53444911,1.673717,1.189703,155.506638
9,15,110.1811,0.0088,3.786,122.8762,0.0314,2.2929,173.3311,0.1701,20.6415,271.9515,5.5493,0.4633,335.8536,3.2752,2.1703,377.1241,0.8436,2.6919,420.7551,5.1538,166.2069,582.9055,0.3256,178.7747,1637.0618,590.3084,443.4665,-15.75445431,1.687608,1.201496,145.449783
10,16,100.7541,0.5135,2.9427,123.7178,0.7491,22.0793,164.6056,9.48,20.5328,291.9261,6.7458,11.323,342.3018,4.2962,53.2786,354.3559,13.9673,13.9845,407.1461,4.3989,267.7393,448.2246,27.094,230.9168,1552.0512,1459.3433,6039.307,-11.42306654,1.797059,1.192919,134.324341
11,21,29.9067,0.7064,5.398,73.7749,0.1178,1.3753,97.2302,0.0654,1.7649,279.5228,3.6729,1.0878,329.0305,1.5909,1.5482,336.2662,1.0949,1.3851,358.4508,2.5573,0.2336,584.7455,12.4554,10.7271,1749.152,528.8796,0.5517,-15.12637955,1.597561,1.186509,149.095856
12,22,80.7021,0.0982,1.4704,90.3259,0.0906,1.4551,161.0645,0.0518,1.8317,290.7668,1.4226,0.0737,294.3419,3.6385,0.2408,339.5547,4.6048,0.4661,347.5988,0.6149,2.6988,534.1996,28.7354,21.4905,1832.4104,516.1222,3.7762,-18.29599532,1.697227,1.180549,160.222336
13,23,109.8327,0.1878,1.7862,116.5585,0.1209,1.9451,161.289,0.0081,1.825,302.9931,5.7368,0.5794,304.4267,1.767,1.782,339.269,4.7048,3.3483,345.9218,1.8214,4.1331,429.1653,31.2747,35.4536,1698.562,551.368,21.5149,-19.46234815,1.803707,1.199796,161.788116
14,30,96.472,0.2814,2.5012,119.0617,0.2938,1.6571,167.7116,0.0136,1.347,293.7606,3.0342,0.7127,320.9377,2.5725,16.4899,329.2046,3.8241,0.4537,375.6573,4.4271,25.3252,441.9984,29.2653,45.8384,1647.708,637.3171,97.455,-24.35680065,1.831111,1.20406,140.863724
15,34,106.5018,0.0242,1.1786,147.0936,0.0433,1.1065,189.4777,0.3231,2.3058,290.8832,5.2576,7.1181,326.8176,3.2607,0.2721,397.1313,12.0681,272.3122,431.4374,0.971,31.1081,549.1371,4.5907,5.1354,1528.7696,486.9187,1118.6991,-11.20375179,1.746497,1.215531,130.505936
16,35,66.2146,0.0408,1.0413,106.6685,0.2003,1.3324,176.35,0.4219,1.0449,222.2182,7.3688,1.869,277.6077,3.7356,0.1605,298.1841,2.639,0.9796,352.5165,2.2062,0.7952,363.1088,2.3363,3.7017,1823.2061,501.4287,78.5379,-9.013679142,1.862487,1.171355,124.380547
17,40,114.5217,0.1065,1.5077,133.8318,0.1285,1.6184,161.9928,0.0263,2.8729,302.402,4.9082,0.5219,326.8719,4.3191,0.9323,354.3219,4.2619,0.4078,415.6384,8.8705,15.722,546.2625,12.4215,5.8358,1559.5172,518.0546,14.9106,-20.88409756,1.732925,1.221021,156.092484
18,42,119.3844,0.0803,2.9392,124.6627,0.0515,2.4836,161.6273,0.7417,1.0359,276.1778,5.7209,6.2946,323.1617,3.8521,6.979,366.6643,9.7842,79.508,416.9043,0.7247,0.6078,509.8451,1.0691,77.2344,1485.0409,773.2198,695.1659,-19.26549826,1.818397,1.222528,139.9935
19,46,119.3233,8.0054,1590.8182,130.8977,2.499,498.1691,136.4476,8.369,1886.6614,310.9064,5.7254,66.6998,330.1528,26.1571,5345.2978,366.5368,3.4071,15.9142,421.2304,1.8514,14.5305,541.8199,7.5627,473.7896,1472.2683,1115.3865,101908.9125,-14.75037556,1.75591,1.211103,136.841583
20,47,109.0062,0.0226,2.5695,133.7722,0.0064,6.9281,179.4414,0.1992,121.2838,294.4753,5.8196,3.5828,318.7309,0.4276,23.7339,342.4264,4.3657,1.5166,368.7078,2.8782,0.9588,455.2092,10.4025,331.1494,1715.2472,668.4808,7106.1931,-8.874999432,1.822787,1.182719,139.764511
