,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,-30.314,0.4255,1.2808,66.4449,1.2445,1.8296,164.9255,1.3338,11.5074,191.8032,0.2206,0.5138,248.0832,4.603,9.9447,266.4215,5.0919,3.0118,290.1877,8.093,41.4449,607.6281,19.7631,112.8063,1177.6748,398.1435,92.7179,-2.931350214,1.732079,1.278445,122.459801
1,2,-50.0781,0.5367,1.0535,72.1205,0.8896,1.4746,167.7395,0.6556,7.7548,222.0795,0.3759,0.9286,243.6655,5.1176,1.7223,284.0282,6.85,0.597,306.8891,2.0874,61.0516,678.2358,4.2171,119.6893,1063.0317,255.235,180.2117,-0.841239906,1.691311,1.305169,125.430412
2,3,-59.3125,0.513,0.9125,63.5697,0.3082,2.272,88.8481,0.1426,1.4828,165.7075,1.5489,10.4944,233.8082,7.567,11.7015,264.197,7.1649,8.0033,307.0792,7.2922,0.7442,550.3364,34.9886,35.589,1290.7295,521.2963,3.9372,1.222452231,1.755276,1.25547,125.886673
3,4,67.077,0.4568,2.2504,95.091,1.042,4.3312,170.766,0.0474,10.7602,234.7934,29.5856,38.1253,242.7276,0.2027,1.3579,298.0645,4.3947,1.1187,337.4772,6.6238,0.8114,493.6981,33.9403,25.8609,1088.5067,540.7357,16.1663,-3.980358681,1.836219,1.294223,123.840187
4,5,75.0512,0.9726,3.1814,96.1144,3.6285,5.9988,170.9832,0.4337,18.7296,192.8536,43.0554,22.6663,257.0625,0.0923,0.7217,338.094,3.2167,1.7231,373.8172,7.0749,0.9595,459.4259,28.431,8.5762,1085.6901,619.3031,76.0921,-5.592933879,1.900109,1.294452,123.666298
5,6,62.8378,1.6612,2.5842,81.533,1.1795,2.8783,161.465,1.1759,2.7887,173.1831,4.9034,13.3401,189.1665,27.8159,0.6261,359.8127,6.1404,1.4335,370.2667,6.8721,0.7964,420.3941,19.3714,1.6306,1286.3689,642.6793,370.7972,-2.4347388,1.91813,1.256532,126.011353
6,7,77.0356,1.1815,4.0044,93.384,0.4098,3.6994,176.5926,0.2979,18.9617,203.6908,42.7495,72.6277,262.0857,0.5709,3.0176,357.2979,5.2455,2.1655,382.9461,5.6341,3.1087,484.4657,19.2486,24.762,994.8808,556.0777,3.3243,-5.324987109,1.863182,1.311748,128.318634
7,8,-110.9875,1.7676,2.1166,63.3145,0.4425,2.1969,100.3358,0.1307,2.4089,173.4862,0.5456,13.3387,234.3867,16.5966,51.3475,333.5101,5.0498,3.0905,364.1876,5.7054,3.8405,501.9977,14.4514,44.6923,1164.2115,524.0849,20.6525,-1.845695163,1.791758,1.278207,131.223419
8,9,-89.48,0.9403,1.2895,62.0393,0.9198,1.7468,73.3296,0.2427,2.2106,167.1265,0.7924,10.7338,255.3719,6.562,54.7843,324.4513,6.3657,0.3546,330.0433,3.8218,18.6573,618.0821,7.7983,93.2945,1193.2345,350.6467,198.0035,-1.467557637,1.71224,1.276227,130.012054
9,10,34.1551,0.6753,0.9027,80.1932,0.4926,0.8417,172.8043,0.365,4.6728,231.5229,0.5004,1.1992,280.4531,5.686,6.2498,303.343,3.9343,14.1825,343.2404,1.9325,38.51,677.2991,0.5659,81.675,1035.6256,160.8041,195.6361,-6.784387116,1.700438,1.317147,124.052002
10,11,61.4979,0.5888,1.5536,74.8377,0.2507,1.6279,171.6632,0.978,7.7605,182.7239,0.2725,0.2439,252.4921,8.2827,41.0602,279.0958,6.2231,0.5918,320.8858,5.8073,7.6404,528.4195,35.0389,63.3401,1222.4195,419.6492,23.3484,-3.241967664,1.775305,1.270008,118.306892
11,12,83.6285,1.4438,2.1534,93.0596,0.2217,2.0183,179.4706,0.0856,7.9558,238.6835,25.586,46.7881,271.0999,0.3162,0.379,305.0266,5.1302,0.621,325.8439,8.0054,1.8452,483.4058,47.7951,22.7141,1101.0188,415.3975,4.9494,-4.583458542,1.832253,1.29449,113.743484
12,13,84.9466,3.4673,3.0998,97.3946,0.1791,1.5031,181.2838,0.0536,6.2753,226.9982,33.4709,34.2723,290.6555,0.962,0.4937,316.5862,4.7573,0.5025,333.6868,9.3168,0.4018,475.6517,40.9977,6.5435,1072.1548,407.6235,11.9939,-4.147715598,1.854694,1.300429,113.529472
13,14,79.4461,1.2006,2.6791,93.6649,1.2076,1.2549,181.1815,0.2389,5.3862,222.1695,0.4529,0.9217,245.6284,21.8153,20.8485,326.9804,3.9721,0.5587,357.1546,13.4994,2.331,466.6905,35.8485,6.4255,1233.1504,470.8313,12.4383,-2.21762034,1.839378,1.267377,117.767395
14,15,89.9222,1.1478,2.6448,103.518,1.3419,1.2205,183.26,0.1118,3.1899,280.5929,1.7746,12.3931,290.0738,9.4196,53.6348,339.6278,6.0344,3.5466,375.0258,11.043,17.0639,554.4543,20.4836,55.9122,1014.6306,309.9485,68.4884,-5.490022239,1.783665,1.312274,122.163879
15,16,77.4534,0.7552,1.7604,88.3423,2.2622,1.6104,175.4529,0.2392,5.1481,192.3077,0.0588,1.2643,305.7278,8.8114,26.341,323.7321,6.1582,2.1295,378.7612,11.6366,12.0485,573.3035,17.5832,50.2779,1116.3588,371.1683,13.2515,-2.3594376,1.75698,1.287623,125.196907
16,18,84.1207,0.3823,1.3947,111.1529,1.5054,3.5824,192.5845,0.0262,1.5626,274.5389,4.2671,12.1804,293.0778,6.8755,0.6218,311.2999,3.3657,39.8134,355.9812,8.6785,53.9959,554.5903,13.2826,88.2756,973.0624,309.342,90.1955,-7.521209358,1.7882,1.321604,121.675583
17,19,76.6398,1.1085,1.8546,105.2215,3.6914,2.0594,183.9179,0.8127,5.8223,242.3492,1.6609,3.1944,256.326,20.4122,9.9212,308.3781,6.1176,0.3718,317.4918,13.2995,1.6483,452.0665,32.5937,1.5519,1186.2889,529.9006,145.007,-2.261483289,1.87214,1.273931,118.905258
18,20,64.7787,18.2203,2.4039,83.3643,0.0575,1.5826,181.6504,6.2762,13.3944,219.3576,19.8931,1.5414,295.0442,3.488,7.1451,297.0194,4.7654,0.8176,331.9587,6.2152,3.0103,428.8466,29.1049,11.3942,1163.1934,481.4682,426.9442,0.480986415,1.949017,1.28118,116.292259
19,21,-60.9571,27.768,7.5445,73.9831,0.7211,1.6171,168.9077,9.3735,13.8723,217.3595,8.4278,4.2259,304.9075,6.7676,1.3287,326.2984,0.3695,10.1688,361.6906,5.4968,3.5,433.7256,21.5775,22.6572,1116.1,433.6568,420.9357,3.889808988,1.994569,1.292482,116.682678
20,22,-40.5079,10.8876,6.8868,75.3549,1.2666,1.4043,163.3059,2.9392,1.4622,176.749,7.9539,18.6686,253.011,0.619,6.1646,329.1098,7.8273,5.0417,356.7956,2.8716,0.9911,388.2941,11.3722,16.1691,1367.472,410.0508,644.6937,4.762424394,2.024595,1.246603,120.744781
21,23,-92.5939,41.0861,25.015,97.777,1.193,2.9174,150.1752,21.6385,28.4024,184.3622,0.6484,33.5155,309.6584,0.0243,4.3083,336.8948,6.5444,8.0678,379.6283,4.3223,1.8547,453.585,13.797,16.2874,1080.0405,591.4314,1710.5213,0.289846869,2.014673,1.295675,125.227531
22,24,-64.4588,23.0692,13.6551,83.5093,0.4076,3.6757,144.3554,21.1535,4.7265,173.2515,3.2175,46.5597,251.7789,0.3301,1.1948,325.1695,6.2507,6.4248,382.934,3.7433,4.1825,424.3796,6.9667,7.1028,1226.0271,622.4585,1738.2738,0.008973393,2.013688,1.268679,130.938263
23,25,-43.5245,19.3977,5.9255,76.222,0.0726,4.2587,124.1943,20.2752,1.4025,172.0295,7.1188,37.2353,236.8685,0.3029,0.7596,321.2262,5.3239,3.3424,351.7248,4.928,3.0981,405.3807,4.0383,1.7331,1241.5068,691.5564,1590.5731,-1.723393464,2.003411,1.265063,134.542511
24,26,-25.8976,36.3508,8.6373,75.6607,1.3112,4.1913,108.8792,23.0941,16.0356,166.0999,10.0558,12.5405,296.9537,3.8624,0.9716,304.1892,0.7698,1.8399,333.804,6.8086,1.0355,437.2588,4.3165,2.372,1032.1793,793.9049,593.1883,-5.057918853,1.979021,1.302269,134.595413
25,27,58.5931,5.3539,4.5585,60.4831,0.3923,3.1141,117.8474,22.9231,3.3725,180.157,12.795,19.5401,232.826,0.0712,0.753,275.8608,4.6204,1.1577,318.475,6.4346,2.5431,395.9382,5.2571,2.8293,1257.5983,697.636,1139.4818,-4.131212085,1.973695,1.262074,132.971176
26,28,60.0776,1.7948,3.1661,75.4327,1.413,3.6117,136.7861,19.3845,19.1057,188.1859,24.4262,2.3824,268.7599,4.8996,0.8618,283.3021,0.0799,0.8129,309.3638,7.8205,1.1191,436.4409,13.0694,0.1843,1117.3058,693.7821,564.9123,-6.018071904,1.933197,1.287574,128.21022
